workload_name,Frontend Bound,Backend Bound,Bad Speculation,Retiring,Memory Bound,Core Bound
bwaves_s,5.714999894468407,81.00130038670528,0.2953676488029091,12.988332070023397,70.49854641706875,10.502753969636537
cactuBSSN_s,8.040297489227475,66.0883529264677,0.2160014125772915,25.65534817172754,59.21573378322367,6.872619143244027
cam4_s,11.415815201369096,69.1107242364202,0.8235194520019782,18.64994111020872,61.81999897075831,7.2907252656619
deepsjeng_s,25.98243674796873,14.52560644612619,17.512392866376093,41.97956393952899,8.250551762150359,6.275054683975824
exchange2_s,21.14264287231527,12.13038683301498,15.301377564156498,51.425592730513245,2.457721542973974,9.672665290040998
fotonik3d_s,7.4447592362512,81.16813126769773,0.3120279347824004,11.075081561268671,74.85596459908075,6.312166668616978
gcc_s,20.2380673903024,34.948571767591304,14.516984359478792,30.29637648262751,19.4776336459236,15.470938121667707
imagick_s,20.790934291520475,21.319279663289777,1.8409023669157525,56.04888367827399,4.512045248542088,16.807234414747693
lbm_s,4.174461632296361,86.96089549788914,0.28735906030083,8.577283809513672,52.27427753299597,34.68661796489317
leela_s,21.382975123056823,14.007445167271158,35.70379970968955,28.90577999998246,6.364572684675044,7.642872482596116
mcf_s,16.87619886535854,32.318618207926704,32.35154835706729,18.45363456964747,17.93875011900682,14.37986808891989
nab_s,13.36973518617401,39.34174342753353,4.092633724351616,43.19588766194086,16.68165148524925,22.66009194228428
omnetpp_s,16.73854972334999,39.40912091655377,19.19096485152816,24.66136450856809,24.43536557193012,14.973755344623637
perlbench_s,28.87232480892105,9.828114876448453,29.306941304248102,31.992619010382377,4.574600630609092,5.253514245839363
pop2_s,7.543760388724718,74.86883118536586,0.5096767384248095,17.07773168748461,62.75423226933981,12.114598916026054
roms_s,4.844729844789884,86.97830942676313,0.2954699766490701,7.881490751797915,81.2705823067713,5.7077271199918345
SPECjbb2005,7.254983657374209,69.71236887002587,3.253425874834052,19.77922159776586,62.22529783288368,7.487071037142193
stream_omp,2.951145726776085,93.59678993219345,0.0920498506953277,3.360014490335155,90.71320355347449,2.883586378718967
wrf_s,9.80483003923451,61.37218198612325,2.5371707345766112,26.28581724006563,43.86507934989605,17.507102636227202
x264_s,11.281403709205284,25.87657910147891,7.194205719480928,55.647811469834885,4.935391336960022,20.94118776451888
xalancbmk_s,13.132634556689124,43.7983299041293,8.057627750421881,35.0114077887597,25.65548284945116,18.14284705467813
xz_s,12.065278723805624,39.18933141118558,19.798070312927443,28.947319552081364,30.16788544242235,9.021445968763231
